;********************
;2013.03.13日按TT语料统计词频整理
;据ju、去qu、需xu 、略lve4、虐nve4
;与Cizu_60K.txt的主要区别，删除类似”数据统计、大力发展、代表大会”等词，词频采用TT统计的词频
;20130318“新浪、微博、新浪网、个大降频	;20130326更新词频;2013.03.28增3.6词组
;20130401增加网络词汇2500个;20130403更新词频;2013.04.27添加常用三字词删除低频字词，补齐天干地支
;20130520增四三字词删除低频字词	;20130604增歇后语;20130605重新统计词频	;20130622 人名放入add_Nmame.txt 20130706删低频两字词
;20130716加成语	20130725删低频两字词 20130819增网络高频 20130823~30大学名称、常用口语化四字词等;20130915删书面化半截词，增短句短语
;20131006日整理加入搜狗2~~4字以上词组2W ;20131017~~20131117加1.7W双字词
一个	yi1 ge4	100000000
自己	zi4 ji3	100000000
中国	zhong1 guo2	100000000
我的	wo3 de5	100000000
可以	ke3 yi3	100000000
没有	mei2 you3	100000000
什么	shen2 me5	100000000
大家	da4 jia1	100000000
分享	fen1 xiang3	100000000
生活	sheng1 huo2	100000000
怎么	zen3 me5	100000000
北京	bei3 jing1	100000000
大的	da4 de5	100000000
时间	shi2 jian1	100000000
活动	huo2 dong4	100000000
世界	shi4 jie4	100000000
视频	shi4 pin2	100000000
为什么	wei4 shen2 me5	100000000
电影	dian4 ying3	100000000
手机	shou3 ji1	100000000
音乐	yin1 yue4	100000000
推荐	tui1 jian4	100000000
美国	mei3 guo2	100000000
上海	shang4 hai3	100000000
时尚	shi2 shang4	100000000
需要	xu1 yao4	100000000
女人	nv3 ren2	100000000
图片	tu2 pian4	100000000
地址	di4 zhi3	100000000
日本	ri4 ben3	100000000
工作	gong1 zuo4	100000000
新闻	xin1 wen2	100000000
公司	gong1 si1	100000000
全球	quan2 qiu2	100000000
如何	ru2 he2	100000000
官方	guan1 fang1	100000000
学校	xue2 xiao4	100000000
广州	guang3 zhou1	100000000
学习	xue2 xi2	100000000
大学	da4 xue2	100000000
知道	zhi1 dao4	100000000
宝宝	bao3 bao3	100000000
问题	wen4 ti2	100000000
开心	kai1 xin1	100000000
学生	xue2 sheng1	100000000
第一	di4 yi1	100000000
电话	dian4 hua4	100000000
国际	guo2 ji4	100000000
健康	jian4 kang1	100000000
游戏	you2 xi4	100000000
设计	she4 ji4	100000000
城市	cheng2 shi4	100000000
苹果	ping2 guo3	100000000
衣服	yi1 fu2	100000000
越来越	yue4 lai2 yue4	100000000
网络	wang3 luo4	100000000
美食	mei3 shi2	100000000
电脑	dian4 nao3	100000000
考试	kao3 shi4	100000000
学院	xue2 yuan4	100000000
美丽	mei3 li4	100000000
企业	qi3 ye4	100000000
信息	xin4 xi1	100000000
深圳	shen1 zhen4	100000000
旅游	lv3 you2	100000000
文化	wen2 hua4	100000000
广告	guang3 gao4	100000000
发布	fa1 bu4	100000000
其他	qi2 ta1	100000000
品牌	pin3 pai2	100000000
全国	quan2 guo2	100000000
